category,subcategory,attribute_name,unit,required,criticality,description
Circuit Breakers,General,Rated Voltage,V,True,CRITICAL,Standard Rated Voltage for Circuit Breakers
Circuit Breakers,General,Rated Current,A,True,CRITICAL,Standard Rated Current for Circuit Breakers
Circuit Breakers,General,Breaking Capacity,kA,True,CRITICAL,Standard Breaking Capacity for Circuit Breakers
Circuit Breakers,General,Poles,Count,True,HIGH,Standard Poles for Circuit Breakers
Circuit Breakers,General,Weight,kg,False,MEDIUM,Standard Weight for Circuit Breakers
Terminal Blocks,General,Rated Voltage,V,True,CRITICAL,Standard Rated Voltage for Terminal Blocks
Terminal Blocks,General,Rated Current,A,True,CRITICAL,Standard Rated Current for Terminal Blocks
Terminal Blocks,General,Cross Section,mm²,True,HIGH,Standard Cross Section for Terminal Blocks
Terminal Blocks,General,Mounting Type,String,True,MEDIUM,Standard Mounting Type for Terminal Blocks
Contactors,General,Coil Voltage,V,True,CRITICAL,Standard Coil Voltage for Contactors
Contactors,General,Rated Current,A,True,CRITICAL,Standard Rated Current for Contactors
Contactors,General,Poles,Count,True,HIGH,Standard Poles for Contactors
Relays,General,Coil Voltage,V,True,CRITICAL,Standard Coil Voltage for Relays
Relays,General,Contact Rating,A,True,CRITICAL,Standard Contact Rating for Relays
Relays,General,Configuration,String,True,HIGH,Standard Configuration for Relays
Industrial Sensors,General,Sensing Range,mm,True,CRITICAL,Standard Sensing Range for Industrial Sensors
Industrial Sensors,General,Output Type,String,True,CRITICAL,Standard Output Type for Industrial Sensors
Industrial Sensors,General,IP Rating,String,True,HIGH,Standard IP Rating for Industrial Sensors
Temperature Sensors,General,Temperature Range,°C,True,CRITICAL,Standard Temperature Range for Temperature Sensors
Temperature Sensors,General,Sensor Type,String,True,CRITICAL,Standard Sensor Type for Temperature Sensors
Temperature Sensors,General,Accuracy,%,True,HIGH,Standard Accuracy for Temperature Sensors
Pressure Sensors,General,Pressure Range,bar,True,CRITICAL,Standard Pressure Range for Pressure Sensors
Pressure Sensors,General,Output Signal,mA,True,HIGH,Standard Output Signal for Pressure Sensors
Pressure Sensors,General,Connection,String,True,MEDIUM,Standard Connection for Pressure Sensors
Industrial Connectors,General,Rated Voltage,V,True,CRITICAL,Standard Rated Voltage for Industrial Connectors
Industrial Connectors,General,Rated Current,A,True,CRITICAL,Standard Rated Current for Industrial Connectors
Industrial Connectors,General,Pins,Count,True,HIGH,Standard Pins for Industrial Connectors
Industrial Connectors,General,IP Rating,String,True,HIGH,Standard IP Rating for Industrial Connectors
Switches,General,Contact Config,String,True,CRITICAL,Standard Contact Config for Switches
Switches,General,Rated Voltage,V,True,HIGH,Standard Rated Voltage for Switches
Switches,General,IP Rating,String,True,HIGH,Standard IP Rating for Switches
Industrial Power Supplies,General,Input Voltage,V,True,CRITICAL,Standard Input Voltage for Industrial Power Supplies
Industrial Power Supplies,General,Output Voltage,V,True,CRITICAL,Standard Output Voltage for Industrial Power Supplies
Industrial Power Supplies,General,Output Current,A,True,CRITICAL,Standard Output Current for Industrial Power Supplies
